variant_id,campaign_id,product_id,market,locale,ratio,asset_source,reframe_method,copy_source,status,review_state,path,message
summer-refresh-2026/cold-brew-tonic/1x1/en-US,summer-refresh-2026,cold-brew-tonic,US,en-US,1:1,generated,resize,brief,warn,pending,cold-brew-tonic/1x1/en-US.png,"Summer, freshly poured."
summer-refresh-2026/cold-brew-tonic/1x1/es-MX,summer-refresh-2026,cold-brew-tonic,MX,es-MX,1:1,generated,resize,brief,warn,pending,cold-brew-tonic/1x1/es-MX.png,"El verano, recién servido."
summer-refresh-2026/cold-brew-tonic/1x1/fr-CA,summer-refresh-2026,cold-brew-tonic,CA-QC,fr-CA,1:1,generated,resize,machine,warn,pending,cold-brew-tonic/1x1/fr-CA.png,"L’été, fraîchement versé."
summer-refresh-2026/cold-brew-tonic/9x16/en-US,summer-refresh-2026,cold-brew-tonic,US,en-US,9:16,generated,expand,brief,pass,pending,cold-brew-tonic/9x16/en-US.png,"Summer, freshly poured."
summer-refresh-2026/cold-brew-tonic/9x16/es-MX,summer-refresh-2026,cold-brew-tonic,MX,es-MX,9:16,generated,expand,brief,pass,pending,cold-brew-tonic/9x16/es-MX.png,"El verano, recién servido."
summer-refresh-2026/cold-brew-tonic/9x16/fr-CA,summer-refresh-2026,cold-brew-tonic,CA-QC,fr-CA,9:16,generated,expand,machine,warn,pending,cold-brew-tonic/9x16/fr-CA.png,"L’été, fraîchement versé."
summer-refresh-2026/cold-brew-tonic/16x9/en-US,summer-refresh-2026,cold-brew-tonic,US,en-US,16:9,generated,expand,brief,pass,pending,cold-brew-tonic/16x9/en-US.png,"Summer, freshly poured."
summer-refresh-2026/cold-brew-tonic/16x9/es-MX,summer-refresh-2026,cold-brew-tonic,MX,es-MX,16:9,generated,expand,brief,pass,pending,cold-brew-tonic/16x9/es-MX.png,"El verano, recién servido."
summer-refresh-2026/cold-brew-tonic/16x9/fr-CA,summer-refresh-2026,cold-brew-tonic,CA-QC,fr-CA,16:9,generated,expand,machine,warn,pending,cold-brew-tonic/16x9/fr-CA.png,"L’été, fraîchement versé."
summer-refresh-2026/sparkling-yuzu/1x1/en-US,summer-refresh-2026,sparkling-yuzu,US,en-US,1:1,generated,resize,brief,warn,pending,sparkling-yuzu/1x1/en-US.png,"Summer, freshly poured."
summer-refresh-2026/sparkling-yuzu/1x1/es-MX,summer-refresh-2026,sparkling-yuzu,MX,es-MX,1:1,generated,resize,brief,warn,pending,sparkling-yuzu/1x1/es-MX.png,"El verano, recién servido."
summer-refresh-2026/sparkling-yuzu/1x1/fr-CA,summer-refresh-2026,sparkling-yuzu,CA-QC,fr-CA,1:1,generated,resize,machine,warn,pending,sparkling-yuzu/1x1/fr-CA.png,"L’été, fraîchement versé."
summer-refresh-2026/sparkling-yuzu/9x16/en-US,summer-refresh-2026,sparkling-yuzu,US,en-US,9:16,generated,expand,brief,warn,pending,sparkling-yuzu/9x16/en-US.png,"Summer, freshly poured."
summer-refresh-2026/sparkling-yuzu/9x16/es-MX,summer-refresh-2026,sparkling-yuzu,MX,es-MX,9:16,generated,expand,brief,warn,pending,sparkling-yuzu/9x16/es-MX.png,"El verano, recién servido."
summer-refresh-2026/sparkling-yuzu/9x16/fr-CA,summer-refresh-2026,sparkling-yuzu,CA-QC,fr-CA,9:16,generated,expand,machine,warn,pending,sparkling-yuzu/9x16/fr-CA.png,"L’été, fraîchement versé."
summer-refresh-2026/sparkling-yuzu/16x9/en-US,summer-refresh-2026,sparkling-yuzu,US,en-US,16:9,generated,expand,brief,pass,pending,sparkling-yuzu/16x9/en-US.png,"Summer, freshly poured."
summer-refresh-2026/sparkling-yuzu/16x9/es-MX,summer-refresh-2026,sparkling-yuzu,MX,es-MX,16:9,generated,expand,brief,pass,pending,sparkling-yuzu/16x9/es-MX.png,"El verano, recién servido."
summer-refresh-2026/sparkling-yuzu/16x9/fr-CA,summer-refresh-2026,sparkling-yuzu,CA-QC,fr-CA,16:9,generated,expand,machine,warn,pending,sparkling-yuzu/16x9/fr-CA.png,"L’été, fraîchement versé."
