variant_id,campaign_id,product_id,market,locale,ratio,asset_source,reframe_method,copy_source,status,review_state,path,message
afternoon-boost-demo/citrus-electrolyte/1x1/en-US,afternoon-boost-demo,citrus-electrolyte,US,en-US,1:1,generated,resize,brief,fail,pending,citrus-electrolyte/1x1/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/citrus-electrolyte/1x1/de-DE,afternoon-boost-demo,citrus-electrolyte,DE,de-DE,1:1,generated,resize,brief,fail,pending,citrus-electrolyte/1x1/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
afternoon-boost-demo/citrus-electrolyte/4x5/en-US,afternoon-boost-demo,citrus-electrolyte,US,en-US,4:5,generated,expand,brief,fail,pending,citrus-electrolyte/4x5/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/citrus-electrolyte/4x5/de-DE,afternoon-boost-demo,citrus-electrolyte,DE,de-DE,4:5,generated,expand,brief,fail,pending,citrus-electrolyte/4x5/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
afternoon-boost-demo/citrus-electrolyte/9x16/en-US,afternoon-boost-demo,citrus-electrolyte,US,en-US,9:16,generated,expand,brief,fail,pending,citrus-electrolyte/9x16/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/citrus-electrolyte/9x16/de-DE,afternoon-boost-demo,citrus-electrolyte,DE,de-DE,9:16,generated,expand,brief,fail,pending,citrus-electrolyte/9x16/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
afternoon-boost-demo/citrus-electrolyte/16x9/en-US,afternoon-boost-demo,citrus-electrolyte,US,en-US,16:9,generated,expand,brief,fail,pending,citrus-electrolyte/16x9/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/citrus-electrolyte/16x9/de-DE,afternoon-boost-demo,citrus-electrolyte,DE,de-DE,16:9,generated,expand,brief,fail,pending,citrus-electrolyte/16x9/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
afternoon-boost-demo/sparkling-yuzu/1x1/en-US,afternoon-boost-demo,sparkling-yuzu,US,en-US,1:1,generated,resize,brief,fail,pending,sparkling-yuzu/1x1/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/sparkling-yuzu/1x1/de-DE,afternoon-boost-demo,sparkling-yuzu,DE,de-DE,1:1,generated,resize,brief,fail,pending,sparkling-yuzu/1x1/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
afternoon-boost-demo/sparkling-yuzu/4x5/en-US,afternoon-boost-demo,sparkling-yuzu,US,en-US,4:5,generated,expand,brief,fail,pending,sparkling-yuzu/4x5/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/sparkling-yuzu/4x5/de-DE,afternoon-boost-demo,sparkling-yuzu,DE,de-DE,4:5,generated,expand,brief,fail,pending,sparkling-yuzu/4x5/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
afternoon-boost-demo/sparkling-yuzu/9x16/en-US,afternoon-boost-demo,sparkling-yuzu,US,en-US,9:16,generated,expand,brief,fail,pending,sparkling-yuzu/9x16/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/sparkling-yuzu/9x16/de-DE,afternoon-boost-demo,sparkling-yuzu,DE,de-DE,9:16,generated,expand,brief,fail,pending,sparkling-yuzu/9x16/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
afternoon-boost-demo/sparkling-yuzu/16x9/en-US,afternoon-boost-demo,sparkling-yuzu,US,en-US,16:9,generated,expand,brief,fail,pending,sparkling-yuzu/16x9/en-US.png,"The best way to beat the afternoon slump, guaranteed."
afternoon-boost-demo/sparkling-yuzu/16x9/de-DE,afternoon-boost-demo,sparkling-yuzu,DE,de-DE,16:9,generated,expand,brief,fail,pending,sparkling-yuzu/16x9/de-DE.png,Garantiert der erfrischendste Muntermacher gegen das Nachmittagstief.
